Trip..Duration,Start.Station.Id,Start.Time,End.Station.Id,End.Time,User.Type,Long_Trip
840,7042,12/08/2021 08:55,7293,12/08/2021 09:09,Annual Member,No
720,7497,12/08/2021 09:00,7662,12/08/2021 09:12,Annual Member,No
459,7055,12/08/2021 09:02,7293,12/08/2021 09:09,Casual Member,No
1175,7357,12/08/2021 12:41,7338,12/08/2021 13:00,Casual Member,Yes
293,7457,12/08/2021 13:05,7293,12/08/2021 13:10,Annual Member,No
161,7600,12/08/2021 13:08,7293,12/08/2021 13:10,Annual Member,No
496,7003,12/08/2021 16:40,7293,12/08/2021 16:48,Annual Member,No
1931,7033,12/08/2021 16:55,7338,12/08/2021 17:27,Casual Member,Yes
389,7217,12/08/2021 17:09,7293,12/08/2021 17:15,Annual Member,No
342,7199,12/08/2021 17:44,7293,12/08/2021 17:50,Annual Member,No
1279,7386,12/08/2021 17:56,7338,12/08/2021 18:17,Annual Member,Yes
1046,7205,12/08/2021 18:23,7293,12/08/2021 18:41,Annual Member,Yes
798,7126,12/08/2021 18:34,7293,12/08/2021 18:47,Casual Member,No
782,7126,12/08/2021 18:34,7293,12/08/2021 18:47,Casual Member,No
475,7069,12/08/2021 18:41,7293,12/08/2021 18:49,Annual Member,No
332,7030,12/08/2021 19:02,7293,12/08/2021 19:08,Casual Member,No
520,7148,12/08/2021 19:42,7662,12/08/2021 19:50,Annual Member,No
731,7114,12/08/2021 19:51,7338,12/08/2021 20:03,Annual Member,No
398,7525,12/08/2021 20:02,7662,12/08/2021 20:09,Annual Member,No
1531,7483,12/08/2021 20:07,7338,12/08/2021 20:32,Casual Member,Yes
526,7226,12/08/2021 20:12,7662,12/08/2021 20:21,Annual Member,No
867,7342,12/08/2021 22:15,7428,12/08/2021 22:29,Annual Member,No
314,7317,12/08/2021 23:45,7428,12/08/2021 23:50,Casual Member,No
1800,7069,12/08/2021 23:47,7662,12/09/2021 00:17,Casual Member,Yes
193,7235,12/09/2021 01:36,7293,12/09/2021 01:40,Annual Member,No
361,7315,12/09/2021 08:20,7428,12/09/2021 08:26,Annual Member,No
681,7127,12/09/2021 08:42,7293,12/09/2021 08:53,Annual Member,No
360,7292,12/09/2021 08:43,7293,12/09/2021 08:49,Annual Member,No
635,7042,12/09/2021 08:45,7293,12/09/2021 08:56,Annual Member,No
334,7002,12/09/2021 08:48,7293,12/09/2021 08:53,Annual Member,No
418,7548,12/09/2021 08:56,7293,12/09/2021 09:03,Annual Member,No
525,7281,12/09/2021 09:00,7293,12/09/2021 09:09,Annual Member,No
460,7548,12/09/2021 09:20,7293,12/09/2021 09:28,Annual Member,No
242,7250,12/09/2021 09:57,7293,12/09/2021 10:01,Annual Member,No
580,7001,12/09/2021 10:08,7293,12/09/2021 10:17,Casual Member,No
831,7419,12/09/2021 10:34,7293,12/09/2021 10:48,Annual Member,No
867,7483,12/09/2021 11:47,7338,12/09/2021 12:02,Casual Member,No
382,7055,12/09/2021 12:18,7293,12/09/2021 12:25,Casual Member,No
573,7544,12/09/2021 12:54,7293,12/09/2021 13:04,Annual Member,No
660,7091,12/09/2021 13:07,7338,12/09/2021 13:18,Annual Member,No
404,7548,12/09/2021 14:21,7293,12/09/2021 14:28,Casual Member,No
152,7007,12/09/2021 14:29,7293,12/09/2021 14:31,Annual Member,No
901,7053,12/09/2021 16:33,7107,12/09/2021 16:48,Casual Member,Yes
1231,7031,12/09/2021 17:12,7293,12/09/2021 17:33,Annual Member,Yes
2189,7057,12/09/2021 17:12,7428,12/09/2021 17:49,Casual Member,Yes
639,7256,12/09/2021 17:21,7249,12/09/2021 17:32,Annual Member,No
531,7035,12/09/2021 18:00,7662,12/09/2021 18:09,Casual Member,No
720,7140,12/09/2021 18:22,7293,12/09/2021 18:34,Casual Member,No
392,7217,12/09/2021 18:50,7293,12/09/2021 18:57,Annual Member,No
