Trip..Duration,Start.Station.Id,Start.Time,End.Station.Id,End.Time,User.Type,Long_Trip
259,7293,12/03/2021 17:27,7038,12/03/2021 17:31,Annual Member,No
389,7293,12/03/2021 17:39,7038,12/03/2021 17:46,Casual Member,No
1251,7293,12/03/2021 17:43,7493,12/03/2021 18:04,Casual Member,Yes
244,7293,12/03/2021 17:53,7162,12/03/2021 17:57,Annual Member,No
991,7293,12/03/2021 17:59,7150,12/03/2021 18:16,Annual Member,Yes
458,7662,12/03/2021 18:10,7148,12/03/2021 18:17,Annual Member,No
614,7293,12/03/2021 18:15,7102,12/03/2021 18:25,Annual Member,No
394,7249,12/03/2021 18:16,7524,12/03/2021 18:23,Annual Member,No
287,7293,12/03/2021 18:26,7544,12/03/2021 18:31,Casual Member,No
664,7249,12/03/2021 18:37,7188,12/03/2021 18:48,Annual Member,No
410,7293,12/03/2021 18:59,7001,12/03/2021 19:05,Casual Member,No
372,7293,12/03/2021 19:35,7089,12/03/2021 19:41,Casual Member,No
735,7293,12/03/2021 19:58,7269,12/03/2021 20:10,Casual Member,No
596,7293,12/03/2021 20:00,7269,12/03/2021 20:10,Casual Member,No
415,7249,12/03/2021 20:03,7675,12/03/2021 20:10,Annual Member,No
393,7293,12/03/2021 20:11,7026,12/03/2021 20:18,Annual Member,No
571,7293,12/03/2021 20:21,7260,12/03/2021 20:31,Annual Member,No
524,7293,12/03/2021 20:28,7055,12/03/2021 20:37,Annual Member,No
278,7293,12/03/2021 20:30,7292,12/03/2021 20:35,Annual Member,No
238,7293,12/03/2021 20:42,7542,12/03/2021 20:46,Annual Member,No
237,7249,12/03/2021 21:00,7360,12/03/2021 21:04,Annual Member,No
538,7293,12/03/2021 22:07,7029,12/03/2021 22:15,Annual Member,No
265,7293,12/03/2021 22:16,7030,12/03/2021 22:20,Annual Member,No
2469,7293,12/03/2021 22:31,7198,12/03/2021 23:13,Annual Member,Yes
167,7293,12/03/2021 22:32,7006,12/03/2021 22:35,Casual Member,No
387,7293,12/03/2021 23:11,7163,12/03/2021 23:18,Annual Member,No
639,7338,12/03/2021 23:25,7338,12/03/2021 23:36,Casual Member,No
